Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-93.013,44.472,53.13
2005-05-22,-91.496,47.946,38.37
2005-05-22,-95.835,44.457,52.63
2005-05-22,-93.764,46.204,44.63
2005-05-22,-92.45,43.995,49.88
2005-05-22,-92.829,48.413,42
2005-05-22,-92.089,46.818,38.5
2005-05-22,-93.513,44.789,49
2005-05-22,-94.133,45.55,44.75
2005-05-22,-92.855,45.117,45.5
2005-05-22,-93.668,45.209,48
2005-05-22,-91.39,31.56,61.63
2005-05-22,-90.723,33.746,71.38
2005-05-22,-89.988,34.822,67.88
2005-05-22,-89.567,30.23,62.5
2005-05-22,-89.05,30.39,66.57
2005-05-22,-89.181,30.567,65.38
2005-05-22,-90.141,32.386,64.62
2005-05-22,-88.534,30.378,58.43
2005-05-22,-88.709,30.523,64.25
2005-05-22,-88.731,32.364,60.13
2005-05-22,-88.766,34.265,59.5
2005-05-22,-94.58,38.77,62.75
2005-05-22,-94.037,37.696,53.75
2005-05-22,-94.283,39.417,48
2005-05-22,-94.376,39.303,55.38
2005-05-22,-94.581,39.332,54.38
2005-05-22,-94.556,39.531,54.75
2005-05-22,-93.299,37.261,47.5
2005-05-22,-90.361,38.438,55.5
2005-05-22,-90.865,39.045,55.63
2005-05-22,-91.789,39.473,48.75
2005-05-22,-89.691,37.699,47
2005-05-22,-94.7,39.3,52.75
2005-05-22,-90.226,38.873,55.88
2005-05-22,-90.447,38.902,55.75
2005-05-22,-90.422,37.897,45.25
2005-05-22,-90.383,38.533,53
2005-05-22,-90.705,38.49,52.75
2005-05-22,-90.496,38.614,48.88
2005-05-22,-90.476,38.711,53.5
2005-05-22,-90.198,38.656,55.5
2005-05-22,-90.239,38.672,52.5
2005-05-22,-95.948,41.208,51.63
2005-05-22,-96.025,41.36,41.13
2005-05-22,-95.96,41.306,46.75
2005-05-22,-96.677,40.985,38.12
2005-05-22,-71.496,43.565,32.62
2005-05-22,-72.278,42.931,29.75
2005-05-22,-71.302,44.278,39.5
2005-05-22,-71.225,44.291,32
2005-05-22,-71.392,45.051,27.37
2005-05-22,-72.226,43.63,29.88
2005-05-22,-71.468,43.001,29.63
2005-05-22,-71.523,42.72,31.88
2005-05-22,-71.879,42.862,34.63
2005-05-22,-71.458,43.218,32.38
2005-05-22,-70.748,43.075,34.38
2005-05-22,-70.714,43.047,36.13
2005-05-22,-72.338,43.364,30.63
2005-05-22,-74.03,40.9,24.5
2005-05-22,-75.097,39.923,35
2005-05-22,-74.857,39.674,38.38
2005-05-22,-75.026,39.422,35.88
2005-05-22,-75.218,39.799,36.25
2005-05-22,-74.126,40.671,27.62
2005-05-22,-74.81,40.517,31.62
2005-05-22,-74.747,40.283,31.5
2005-05-22,-74.426,40.473,29.38
2005-05-22,-74.006,40.188,36.75
2005-05-22,-74.677,40.787,29.5
2005-05-22,-74.446,40.065,32.75
2005-05-22,-74.258,41.052,23.63
2005-05-22,-73.757,42.681,29.13
2005-05-22,-73.881,40.866,27.38
2005-05-22,-73.902,40.816,26.87
2005-05-22,-79.319,42.499,43.63
2005-05-22,-79.587,42.291,39.25
2005-05-22,-76.802,42.111,32.75
2005-05-22,-73.743,41.782,22.88
2005-05-22,-78.771,42.993,37.63
2005-05-22,-73.903,44.366,32.25
2005-05-22,-73.859,44.393,34.62
2005-05-22,-74.695,44.981,34.63
2005-05-22,-74.516,43.45,35
2005-05-22,-74.985,43.686,36.38
2005-05-22,-75.973,44.087,35.38
2005-05-22,-75.784,42.73,32.88
2005-05-22,-77.548,43.146,34.5
2005-05-22,-78.479,43.224,29.25
2005-05-22,-75.719,43.3,27.75
2005-05-22,-76.059,43.052,34.63
2005-05-22,-74.215,41.524,26.63
2005-05-22,-76.463,43.284,35.25
2005-05-22,-73.708,41.442,26
2005-05-22,-73.848,40.784,25.88
2005-05-22,-73.823,40.736,32.63
2005-05-22,-73.464,42.782,28.13
2005-05-22,-74.126,40.597,33.38
2005-05-22,-73.649,43.012,27.62
2005-05-22,-73.94,42.8,25.25
2005-05-22,-73.419,40.746,7.13
2005-05-22,-72.713,40.961,31.75
2005-05-22,-73.057,40.827,33.38
2005-05-22,-74.494,42.144,28.5
2005-05-22,-77.174,43.231,30.5
2005-05-22,-73.764,41.052,29.75
2005-05-22,-81.19,35.929,54.75
2005-05-22,-81.934,35.972,58.88
2005-05-22,-82.6,35.5,51
2005-05-22,-81.53,35.936,54
2005-05-22,-79.467,36.307,52.5
2005-05-22,-79.16,35.757,53.25
2005-05-22,-78.728,35.159,56.38
2005-05-22,-78.963,34.969,56.63
2005-05-22,-80.559,35.809,61.88
2005-05-22,-77.583,35.988,56
2005-05-22,-80.227,36.111,52.12
2005-05-22,-80.216,36.203,54.38
2005-05-22,-80.342,36.026,55.38
2005-05-22,-80.144,36.051,57.63
2005-05-22,-78.464,36.096,56.88
2005-05-22,-83.796,35.258,57.29
2005-05-22,-78.768,36.141,61.88
2005-05-22,-79.704,36.113,56.75
2005-05-22,-79.801,36.109,59.25
2005-05-22,-82.965,35.505,55.25
2005-05-22,-82.793,35.379,56.57
2005-05-22,-83.077,35.59,56.71
2005-05-22,-78.462,35.591,54.63
2005-05-22,-77.569,35.231,62
2005-05-22,-81.277,35.439,52
2005-05-22,-76.898,35.811,60.12
2005-05-22,-80.786,35.24,51.38
2005-05-22,-80.92,35.113,47
2005-05-22,-80.694,35.349,54.63
2005-05-22,-77.839,34.364,56.5
2005-05-22,-79.092,36.307,57.13
2005-05-22,-77.599,35.583,58.5
2005-05-22,-79.859,36.309,54.38
2005-05-22,-80.395,35.552,60.75
2005-05-22,-80.668,35.534,60.25
2005-05-22,-83.444,35.436,56.75
2005-05-22,-80.541,34.974,51.25
2005-05-22,-78.574,35.856,59.38
2005-05-22,-78.793,35.597,56.62
2005-05-22,-82.285,35.738,55.25
2005-05-22,-96.855,46.934,43.63
2005-05-22,-84.052,40.772,46.57
2005-05-22,-80.573,41.959,39.12
2005-05-22,-84.544,39.383,58.75
2005-05-22,-84.393,39.53,57.5
2005-05-22,-83.804,40.001,44.88
2005-05-22,-83.997,39.856,45.87
2005-05-22,-84.144,39.083,55
2005-05-22,-83.789,39.43,53.5
2005-05-22,-81.575,41.555,30.5
2005-05-22,-81.865,41.362,42.38
2005-05-22,-81.459,41.537,41.75
2005-05-22,-83.064,40.357,48.88
2005-05-22,-82.957,39.914,40.63
2005-05-22,-82.816,40.087,54.75
2005-05-22,-82.958,39.965,41.38
2005-05-22,-82.96,40.088,41.12
2005-05-22,-81.249,41.515,50
2005-05-22,-83.943,39.666,47.5
2005-05-22,-84.366,39.278,56.5
2005-05-22,-84.691,39.215,63
2005-05-22,-84.504,39.129,58
2005-05-22,-80.615,40.366,55.75
2005-05-22,-82.692,40.31,54
2005-05-22,-81.423,41.673,39.13
2005-05-22,-81.242,41.722,31.5
2005-05-22,-82.667,38.52,38.25
2005-05-22,-82.457,38.629,32.25
2005-05-22,-82.433,40.026,54.25
2005-05-22,-82.096,41.421,42.5
2005-05-22,-83.547,41.644,39.38
2005-05-22,-83.719,41.495,49.25
2005-05-22,-83.307,41.676,46.25
2005-05-22,-83.475,41.719,45.25
2005-05-22,-83.476,39.789,47.5
2005-05-22,-80.659,41.096,52.63
2005-05-22,-81.912,41.103,55.25
2005-05-22,-84.115,40.085,49.88
2005-05-22,-84.182,39.781,49.37
2005-05-22,-81.33,41.182,53.88
2005-05-22,-84.721,39.836,52.37
2005-05-22,-81.379,40.828,50.25
2005-05-22,-81.601,40.709,51.5
2005-05-22,-81.124,40.931,53.38
2005-05-22,-81.504,41.106,56.75
2005-05-22,-80.592,41.454,44.63
2005-05-22,-80.663,41.24,52.25
2005-05-22,-84.202,39.428,50
2005-05-22,-81.46,39.432,60
2005-05-22,-83.612,41.378,50.25
2005-05-22,-94.67,35.75,62
2005-05-22,-97.752,35.481,50.25
2005-05-22,-94.986,35.855,63.5
2005-05-22,-97.488,35.32,50.38
2005-05-22,-98.366,34.649,42.88
2005-05-22,-96.361,36.107,55.88
2005-05-22,-98.932,36.16,56.13
2005-05-22,-97.857,33.894,56.38
2005-05-22,-97.034,36.957,61.5
2005-05-22,-97.474,35.161,45.25
2005-05-22,-95.25,36.228,70.13
2005-05-22,-97.506,35.517,52.88
2005-05-22,-97.303,35.479,54.87
2005-05-22,-97.472,35.613,57.5
2005-05-22,-94.839,36.922,67.88
2005-05-22,-95.784,34.886,69.5
2005-05-22,-96,36.374,68.5
2005-05-22,-96.003,35.939,56.75
2005-05-22,-95.764,36.133,62.25
2005-05-22,-95.977,36.207,67
2005-05-22,-77.25,39.93,41.38
2005-05-22,-79.961,40.466,40
2005-05-22,-80.016,40.446,49.25
2005-05-22,-80.186,40.382,56.75
2005-05-22,-79.732,40.617,51
2005-05-22,-79.565,40.814,48.63
2005-05-22,-80.504,40.563,55.5
2005-05-22,-80.36,40.685,55
2005-05-22,-80.317,40.748,52
2005-05-22,-75.927,40.32,34.75
2005-05-22,-78.371,40.535,41.88
2005-05-22,-74.882,40.107,32.88
2005-05-22,-78.915,40.31,43.63
2005-05-22,-77.877,40.811,40.12
2005-05-22,-75.769,39.834,40.37
2005-05-22,-78.526,41.118,47.75
2005-05-22,-76.845,40.245,39.37
2005-05-22,-76.681,40.272,36.63
2005-05-22,-75.372,39.836,37.5
2005-05-22,-80.039,42.142,39.63
2005-05-22,-77.476,39.961,41.63
2005-05-22,-80.285,39.816,56
2005-05-22,-78.92,40.563,48
2005-05-22,-75.578,41.479,28.25
2005-05-22,-75.623,41.443,29.25
2005-05-22,-76.283,40.047,40.88
2005-05-22,-80.347,40.996,48.13
2005-05-22,-75.433,40.612,35.38
2005-05-22,-76.003,41.209,29.38
2005-05-22,-75.846,41.266,33.88
2005-05-22,-76.924,41.251,35.38
2005-05-22,-80.485,41.215,50.25
2005-05-22,-75.309,40.112,35.25
2005-05-22,-75.341,40.628,35.13
2005-05-22,-75.237,40.692,32
2005-05-22,-77.166,40.457,38.5
2005-05-22,-75.098,40.009,23.75
2005-05-22,-75.241,40.05,34.13
2005-05-22,-75.012,40.076,36.25
2005-05-22,-75.223,39.928,30.75
2005-05-22,-76.939,41.645,32.5
2005-05-22,-79.902,40.147,52
2005-05-22,-80.261,40.171,49
2005-05-22,-80.421,40.445,54.38
2005-05-22,-79.693,40.428,48.88
2005-05-22,-79.506,40.305,50.63
2005-05-22,-76.699,39.965,42.5
2005-05-22,-71.72,41.615,32.25
2005-05-22,-71.362,41.84,30
2005-05-22,-71.428,41.492,35.25
2005-05-22,-81.789,33.344,51.63
2005-05-22,-82.49,34.777,46.38
2005-05-22,-81.466,33.322,50.5
2005-05-22,-79.937,32.989,58.25
2005-05-22,-79.657,32.943,62.12
2005-05-22,-81.817,35.132,57.63
2005-05-22,-81.204,34.795,47.75
2005-05-22,-80.199,34.617,47.13
2005-05-22,-80.965,33.01,50.25
2005-05-22,-79.745,34.287,58.5
2005-05-22,-81.854,33.742,48
2005-05-22,-83.238,34.807,48.5
2005-05-22,-82.839,34.655,50.25
2005-05-22,-80.962,34.096,54.5
